File,smUserID,givenName,surname,active,initials,email,id
user,rg:None,Judy,Holbert,rg:True,JHH,rg:None,200000
user,rg:None,Clayton,McCullough,rg:True,CSM,rg:None,200001
user,rg:None,Betty,Tacker,rg:True,BJT,rg:None,200002
user,rg:None,Gayle,York,rg:True,GCY,rg:None,200003
user,rg:None,Brian,Healey,rg:True,BBH,rg:None,200004
user,rg:None,Rosa,Mayer,rg:True,RDM,rg:None,200005
user,rg:None,Albert,Mills,rg:True,AAM,rg:None,200006
user,rg:None,Cynthia,Whipple,rg:True,CKW,rg:None,200007
user,rg:None,Michael,Washington,rg:True,MDW,rg:None,200008
user,rg:None,Sarah,Ward,rg:True,SKW,rg:None,200009
user,rg:None,Harry,Solomon,rg:True,HDS,rg:None,200010
user,rg:None,Cheryl,Mills,rg:True,CGM,rg:None,200011
user,rg:None,Michael,Wilkerson,rg:True,MGW,rg:None,200012
user,rg:None,Celia,Schreier,rg:True,CWS,rg:None,200013
user,rg:None,Lillian,Warner,rg:True,LJW,rg:None,200014
user,rg:None,Marilyn,Novak,rg:True,MBN,rg:None,200015
user,rg:None,Joshua,Bjork,rg:True,JKB,rg:None,200016
user,rg:None,Patricia,Riley,rg:True,PJR,rg:None,200017
user,rg:None,Beverly,Clyde,rg:True,BWC,rg:None,200018
user,rg:None,Bill,Finley,rg:True,BMF,rg:None,200019
user,rg:None,Charles,Seng,rg:True,CJS,rg:None,200020
user,rg:None,Robert,Miller,rg:True,RGM,rg:None,200021
user,rg:None,David,Kelly,rg:True,DBK,rg:None,200022
user,rg:None,Emory,Hanson,rg:True,ECH,rg:None,200023
user,rg:None,Richard,Turner,rg:True,RET,rg:None,200024
user,rg:None,Cletus,Hill,rg:True,CDH,rg:None,200025
user,rg:None,Nancy,Foley,rg:True,NFF,rg:None,200026
user,rg:None,Nichole,Mitchell,rg:True,NDM,rg:None,200027
user,rg:None,Ricky,Nestor,rg:True,RFN,rg:None,200028
user,rg:None,Dorothy,Fisher,rg:True,DJF,rg:None,200029
user,rg:None,Bruce,Welsh,rg:True,BIW,rg:None,200030
user,rg:None,Alma,Sterling,rg:True,ATS,rg:None,200031
user,rg:None,Robert,Hunt,rg:True,RLH,rg:None,200032
user,rg:None,Stephanie,Young,rg:True,SJY,rg:None,200033
user,rg:None,Wilma,Urbanski,rg:True,WCU,rg:None,200034
user,rg:None,Keli,Warren,rg:True,KHW,rg:None,200035
user,rg:None,Ralph,Graham,rg:True,RKG,rg:None,200036
user,rg:None,Margaret,Greene,rg:True,MRG,rg:None,200037
user,rg:None,William,Perreault,rg:True,WJP,rg:None,200038
